aren't,are not
can't,can not
couldn't,could not
couldent,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he has
here's,here is
i'd, i would
i'll,i will
i'm,i am
i've,i have
isn't,is not
it'll, it will
it's,it is
let's,let us
mightn't,might not
mine's, mine is
mustn't,must not
shan't,shall not
she'd,she would
she'll,she will
she's,she is
shouldn't,should not
someone's,someone is
something's,something is
that'd, that would
that's,that is
there's,there is
they'd,they would
they'll,they will
they're,they are
they've,they have
wasn't, was not
we'd, we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what's,what is
what've,what have
where's,where is
who'd, who would
who'll,who will
who're,who are
who's,who is
who've,who have
won't,will not
wouldn't,would not
would've,would have
you'd,you had
you'll,you will
you're,you are
you've,you have
